GO:0016861 GO:0009052
GO:0016861 GO:0061721
GO:0016861 GO:0006098
GO:0016861 GO:0061705
GO:0016861 GO:0061729
GO:0016861 GO:0061722
GO:0016861 GO:0061613
GO:0016861 GO:0061625
GO:0016861 GO:0061615
GO:0016861 GO:0061719
GO:0016861 GO:0019661
GO:0016668 GO:0019455
GO:0016668 GO:0034604
GO:0016668 GO:0019420
GO:0042995 GO:0098862
GO:0042995 GO:0098686
GO:0042995 GO:0097447
GO:0042995 GO:0097448
GO:0015318 GO:0098990
GO:0015318 GO:0042128
GO:0015318 GO:0098991
GO:0015318 GO:0061577
GO:0015318 GO:0090676
GO:0015318 GO:0098989
GO:0042277 GO:0001698
GO:0042277 GO:0001653
GO:0042277 GO:0140626
GO:0055086 GO:0009777
GO:0055086 GO:0006119
GO:0055086 GO:0019660
GO:0055086 GO:0006098
GO:0055082 GO:0033214
GO:0055080 GO:0033214
GO:0055056 GO:0019657
GO:0055056 GO:0061633
GO:0023051 GO:0140676
GO:0023051 GO:0007188
GO:0023057 GO:0007193
GO:0039696 GO:0039691
GO:0039696 GO:0039689
GO:0039695 GO:0039692
GO:0039695 GO:0039688
GO:0023061 GO:0098814
GO:0023061 GO:0036162
GO:0018551 GO:0019420
GO:0001934 GO:0031954
GO:1905324 GO:0032203
GO:1905324 GO:0007004
GO:0050542 GO:0004953
GO:0042886 GO:0036162
GO:0046189 GO:0075043
GO:0042834 GO:0016019
GO:0042826 GO:0035033
GO:0015485 GO:0120020
GO:0001119 GO:0001109
GO:0001115 GO:0001109
GO:0016849 GO:0140676
GO:0016849 GO:0006777
GO:0016849 GO:0007189
GO:0141187 GO:0039692
GO:0141187 GO:0007534
GO:0141187 GO:0022616
GO:0141187 GO:0039703
GO:0141187 GO:0006260
GO:0141187 GO:0039688
GO:0141187 GO:0098039
GO:0141188 GO:0071030
GO:0141188 GO:0006272
GO:0141188 GO:0071031
GO:0141188 GO:0006273
GO:0046478 GO:0010707
GO:0046478 GO:0010706
GO:0016032 GO:0039692
GO:0016032 GO:0039691
GO:0016032 GO:0039689
GO:0016032 GO:0039688
GO:0016032 GO:0075713
GO:0050456 GO:0019455
GO:0016459 GO:0032982
GO:0050431 GO:0005026
GO:0016418 GO:0034604
GO:0009451 GO:0006434
GO:0016408 GO:0044814
GO:0016408 GO:0045122
GO:0016407 GO:0034604
GO:0016407 GO:0044814
